;Unnamed: 0;Названия;Время суток;Время года;Местность;Авиа;Автомобили;БПЛА;Водолаз;Кинолог;Кони;Объятия;Шерп
0;0;63.jpg;1;3;1;0;0;0;0;1;0;0;0
1;1;77.jpg;1;4;1;1;0;0;0;0;0;0;0
2;2;88.jpg;1;3;1;0;0;0;0;0;1;0;0
3;3;89.jpg;3;3;3;0;1;0;0;1;0;0;0
4;4;76.jpg;1;4;1;1;0;0;0;0;0;0;0
5;5;62.jpg;2;1;1;0;0;0;0;0;0;0;0
6;6;74.jpg;1;3;1;0;0;0;0;0;0;1;0
7;7;60.jpg;2;4;2;0;1;0;0;0;0;0;0
8;8;48.jpg;1;4;1;0;0;0;0;0;0;0;0
9;9;49.jpg;3;3;2;0;0;0;0;0;0;0;0
10;10;61.jpg;1;3;1;0;0;0;0;0;0;0;0
11;11;75.jpg;1;0;0;0;0;0;0;0;0;1;0
12;12;59.jpg;2;1;2;0;0;0;0;0;0;0;0
13;13;71.jpg;1;3;0;0;0;0;0;0;0;1;0
14;14;65.JPG;3;0;0;0;0;1;0;0;0;0;0
15;15;64.jpg;1;4;1;0;0;0;0;0;0;0;0
16;16;70.jpg;1;0;0;0;1;0;0;0;0;0;0
17;17;58.jpg;1;1;0;0;0;0;0;0;1;0;0
18;18;8.jpg;1;3;0;1;0;0;0;0;0;0;0
19;19;66.JPG;1;3;0;1;0;0;0;0;0;0;0
20;20;72.jpg;1;3;0;1;0;0;0;0;0;0;0
21;21;99.jpg;1;3;0;1;0;0;0;0;0;0;0
22;22;98.jpg;1;3;0;1;0;0;0;0;0;0;0
23;23;73.jpg;1;3;0;1;0;0;0;0;0;0;0
24;24;67.jpg;1;3;0;1;0;0;0;0;0;0;0
25;25;9.JPG;1;3;0;1;0;0;0;0;0;0;0
26;26;14.jpg;1;3;0;1;0;0;0;0;0;0;0
27;27;28.jpg;1;3;0;1;0;0;0;0;0;0;0
28;28;101.jpg;1;3;0;1;0;0;0;0;0;0;0
29;29;100.jpg;1;3;0;1;0;0;0;0;0;0;0
30;30;29.jpg;1;3;0;1;0;0;0;0;0;0;0
31;31;15.jpg;1;3;0;1;0;0;0;0;0;0;0
32;32;17.jpg;1;3;0;1;0;0;0;0;0;0;0
